,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Allstar True
0,1,Precious Achiuwa,C-PF,24,TOT,30,0,16.6,2.8,6.2,0.449,0.5,1.7,0.269,2.3,4.5,0.519,0.487,0.8,1.4,0.571,2.0,3.1,5.1,1.5,0.6,0.5,1.0,1.5,6.9,0
1,2,Bam Adebayo,C,26,MIA,27,27,34.4,8.0,15.7,0.513,0.0,0.3,0.143,8.0,15.4,0.519,0.514,6.0,7.6,0.782,2.2,8.1,10.4,4.0,1.1,1.0,2.5,2.4,22.1,1
2,3,Ochai Agbaji,SG,23,UTA,39,10,20.3,2.4,5.3,0.444,1.1,3.1,0.339,1.3,2.2,0.593,0.543,0.3,0.4,0.733,0.8,1.7,2.5,1.0,0.6,0.5,0.7,1.5,6.1,0
3,4,Santi Aldama,PF,23,MEM,29,5,23.2,3.9,9.0,0.438,1.6,4.6,0.341,2.4,4.4,0.539,0.525,1.0,1.6,0.609,1.3,4.2,5.5,1.7,0.7,0.7,1.1,1.6,10.4,0
4,5,Nickeil Alexander-Walker,SG,25,MIN,37,12,22.4,2.4,5.7,0.417,1.4,3.8,0.362,1.0,1.9,0.529,0.538,0.4,0.6,0.696,0.5,1.3,1.8,2.4,0.9,0.6,0.9,1.9,6.6,0
5,6,Grayson Allen,SG,28,PHO,32,32,33.4,4.6,9.2,0.502,2.6,5.5,0.472,2.0,3.7,0.547,0.643,1.7,1.9,0.9,0.8,3.4,4.2,2.8,0.9,0.6,1.5,2.2,13.5,0
6,7,Jarrett Allen,C,25,CLE,31,31,30.0,6.1,9.2,0.667,0.0,0.0,0.0,6.1,9.2,0.669,0.667,2.6,3.5,0.734,3.5,6.5,9.9,2.9,0.8,0.9,1.7,2.5,14.8,0
7,8,Jose Alvarado,PG,25,NOP,22,0,17.0,2.5,6.0,0.409,1.3,3.3,0.384,1.2,2.7,0.441,0.515,0.7,1.1,0.6,0.5,1.9,2.4,1.9,1.0,0.5,0.9,1.5,6.9,0
8,9,Kyle Anderson,PF,30,MIN,37,2,23.1,2.6,5.6,0.469,0.1,0.7,0.12,2.5,4.9,0.516,0.476,1.4,2.1,0.697,0.7,3.0,3.7,3.9,0.8,0.7,1.5,1.5,6.8,0
9,10,Giannis Antetokounmpo,PF,29,MIL,36,36,35.2,11.7,19.2,0.607,0.4,1.8,0.238,11.3,17.5,0.644,0.618,7.7,11.4,0.676,2.7,8.8,11.5,5.9,1.3,1.2,3.6,2.9,31.4,1
10,11,Thanasis Antetokounmpo,PF,31,MIL,15,0,3.9,0.3,0.6,0.444,0.0,0.0,0.0,0.3,0.6,0.444,0.444,0.0,0.0,0.0,0.2,0.3,0.5,0.5,0.1,0.1,0.3,0.6,0.5,0
11,12,Cole Anthony,PG,23,ORL,36,0,24.8,4.7,10.7,0.44,1.3,3.8,0.346,3.4,6.9,0.492,0.501,3.2,3.8,0.847,1.1,3.3,4.4,3.4,0.7,0.4,1.8,2.8,13.9,0
12,13,OG Anunoby,SF,26,TOT,32,32,33.3,5.8,11.6,0.497,2.2,5.8,0.384,3.6,5.8,0.61,0.593,1.2,1.6,0.731,1.1,3.0,4.1,2.4,1.1,0.4,1.5,2.5,15.0,0
13,14,Ryan Arcidiacono,PG,29,NYK,14,0,2.4,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.1,0.0,0.0,0.3,0.0,0
